image,site,max_conf,cluster,confuser_label,confuser_family
force-06_courmettes-160_2024-04-03T09-04-55.jpg,courmettes,0.8559,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T09-04-58.jpg,courmettes,0.8559,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T09-05-21.jpg,courmettes,0.8518,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T09-04-35.jpg,courmettes,0.8267,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T09-03-56.jpg,courmettes,0.8239,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-01-09T10-11-52.jpg,courmettes,0.8062,5,broken overcast over ridgelines,cloud
force-06_courmettes-160_2024-04-26T09-13-12.jpg,courmettes,0.7991,0,low-sun glare & lens flare,sun/glare
force-06_courmettes-160_2024-02-18T10-52-00.jpg,courmettes,0.7958,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-275_2024-04-27T09-50-39.jpg,courmettes,0.7927,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-01-02T11-01-29.jpg,courmettes,0.7901,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-212_2024-04-08T19-26-55.jpg,courmettes,0.7842,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T09-07-15.jpg,courmettes,0.7838,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-22T14-43-52.jpg,courmettes,0.783,5,broken overcast over ridgelines,cloud
force-06_courmettes-160_2024-04-03T09-23-17.jpg,courmettes,0.7776,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T09-02-16.jpg,courmettes,0.7727,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T09-04-06.jpg,courmettes,0.7721,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-01-09T10-15-44.jpg,courmettes,0.772,5,broken overcast over ridgelines,cloud
sdis-07_brison-110_2024-03-01T11-14-46.jpg,brison,0.7694,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-275_2024-04-27T19-37-01.jpg,courmettes,0.7663,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-275_2024-01-29T16-01-37.jpg,courmettes,0.7613,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T09-59-47.jpg,courmettes,0.756,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-275_2024-04-27T09-50-32.jpg,courmettes,0.7542,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-02-12T10-25-13.jpg,courmettes,0.7479,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-23T09-17-30.jpg,courmettes,0.7479,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T09-17-46.jpg,courmettes,0.7475,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T09-59-17.jpg,courmettes,0.7457,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-275_2024-04-27T10-06-12.jpg,courmettes,0.7452,3,clear sky / thin high cloud over forest,clear/haze
sdis-07_brison-290_2024-09-05T09-50-38.jpg,brison,0.7444,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-275_2024-04-08T19-32-12.jpg,courmettes,0.7439,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-01-20T09-38-50.jpg,courmettes,0.7412,5,broken overcast over ridgelines,cloud
force-06_courmettes-212_2024-04-08T19-27-14.jpg,courmettes,0.7354,3,clear sky / thin high cloud over forest,clear/haze
sdis-07_brison-110_2024-03-28T11-26-47.jpg,brison,0.7336,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-01-09T10-16-14.jpg,courmettes,0.7326,5,broken overcast over ridgelines,cloud
force-06_courmettes-212_2024-02-15T09-05-22.jpg,courmettes,0.732,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-212_2024-02-05T09-35-11.jpg,courmettes,0.7276,5,broken overcast over ridgelines,cloud
force-06_courmettes-212_2024-04-22T09-29-39.jpg,courmettes,0.7274,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-22T15-01-52.jpg,courmettes,0.7274,5,broken overcast over ridgelines,cloud
force-06_courmettes-275_2024-04-08T19-33-13.jpg,courmettes,0.7238,1,bright scattered / cumulus clouds,cloud
sdis-77_croix-augas-212_2024-09-16T18-53-00.jpg,croix-augas,0.7222,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-01-16T09-22-36.jpg,courmettes,0.7212,1,bright scattered / cumulus clouds,cloud
sdis-07_brison-290_2024-09-05T09-51-08.jpg,brison,0.7178,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-04-03T09-00-16.jpg,courmettes,0.7172,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-02-18T10-53-31.jpg,courmettes,0.7165,4,overcast stratus & valley haze (backlit),cloud
sdis-77_croix-augas-212_2024-09-16T18-46-59.jpg,croix-augas,0.7141,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-212_2024-01-03T13-48-37.jpg,courmettes,0.714,3,clear sky / thin high cloud over forest,clear/haze
sdis-77_croix-augas-212_2024-09-16T18-56-19.jpg,croix-augas,0.714,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-275_2024-04-27T10-05-14.jpg,courmettes,0.7111,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T09-18-31.jpg,courmettes,0.7099,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T09-18-16.jpg,courmettes,0.7099,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T09-18-28.jpg,courmettes,0.7099,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-275_2024-04-27T10-08-02.jpg,courmettes,0.7092,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-22T14-43-21.jpg,courmettes,0.7091,5,broken overcast over ridgelines,cloud
force-06_courmettes-160_2024-01-27T09-55-57.jpg,courmettes,0.7087,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-02-18T10-53-00.jpg,courmettes,0.7085,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-275_2024-04-27T10-06-43.jpg,courmettes,0.7078,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T08-59-21.jpg,courmettes,0.7072,4,overcast stratus & valley haze (backlit),cloud
sdis-07_brison-200_2024-03-06T15-39-28.jpg,brison,0.7056,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-275_2024-01-29T16-01-31.jpg,courmettes,0.7054,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T09-37-13.jpg,courmettes,0.7048,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-26T11-11-18.jpg,courmettes,0.7032,5,broken overcast over ridgelines,cloud
force-06_courmettes-160_2024-01-02T11-01-28.jpg,courmettes,0.7024,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-275_2024-04-27T09-51-10.jpg,courmettes,0.7022,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T11-14-46.jpg,courmettes,0.7013,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T11-14-36.jpg,courmettes,0.7013,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T09-38-18.jpg,courmettes,0.6996,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-01-16T09-22-05.jpg,courmettes,0.6995,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-04-22T15-00-52.jpg,courmettes,0.6988,5,broken overcast over ridgelines,cloud
force-06_courmettes-160_2024-02-27T14-21-31.jpg,courmettes,0.6982,5,broken overcast over ridgelines,cloud
force-06_courmettes-275_2024-04-27T10-05-42.jpg,courmettes,0.6975,3,clear sky / thin high cloud over forest,clear/haze
sdis-77_croix-augas-212_2024-09-16T18-46-31.jpg,croix-augas,0.6974,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-03T09-56-17.jpg,courmettes,0.6965,4,overcast stratus & valley haze (backlit),cloud
sdis-07_brison-290_2024-09-05T09-51-38.jpg,brison,0.6954,1,bright scattered / cumulus clouds,cloud
sdis-77_croix-augas-212_2024-08-18T20-14-54.jpg,croix-augas,0.6946,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-212_2024-09-17T18-36-18.jpg,courmettes,0.693,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-26T11-10-18.jpg,courmettes,0.6929,5,broken overcast over ridgelines,cloud
force-06_courmettes-160_2024-04-26T10-57-48.jpg,courmettes,0.6913,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-01-20T09-40-51.jpg,courmettes,0.6891,5,broken overcast over ridgelines,cloud
force-06_courmettes-275_2024-04-08T19-34-45.jpg,courmettes,0.6886,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-02-13T13-34-17.jpg,courmettes,0.6885,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-08T09-48-17.jpg,courmettes,0.687,5,broken overcast over ridgelines,cloud
sdis-77_croix-augas-212_2024-08-18T20-14-56.jpg,croix-augas,0.6863,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-212_2024-04-27T09-49-37.jpg,courmettes,0.6839,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-20T18-16-13.jpg,courmettes,0.6833,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-02-27T14-22-01.jpg,courmettes,0.683,5,broken overcast over ridgelines,cloud
force-06_valbonne-349_2024-04-07T15-34-03.jpg,valbonne,0.6825,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-04-23T10-09-33.jpg,courmettes,0.6802,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-03T08-59-46.jpg,courmettes,0.6798,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-22T15-02-52.jpg,courmettes,0.678,5,broken overcast over ridgelines,cloud
sdis-77_croix-augas-212_2024-08-18T20-10-30.jpg,croix-augas,0.6775,5,broken overcast over ridgelines,cloud
force-06_courmettes-275_2024-04-27T10-08-13.jpg,courmettes,0.677,3,clear sky / thin high cloud over forest,clear/haze
sdis-77_croix-augas-212_2024-08-18T20-17-59.jpg,croix-augas,0.6766,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-01-09T09-48-43.jpg,courmettes,0.674,5,broken overcast over ridgelines,cloud
sdis-77_croix-augas-212_2024-08-18T20-10-29.jpg,croix-augas,0.6735,5,broken overcast over ridgelines,cloud
force-06_courmettes-160_2024-04-08T09-49-48.jpg,courmettes,0.6722,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-275_2024-04-08T19-29-16.jpg,courmettes,0.6705,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-01-02T12-11-07.jpg,courmettes,0.6692,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-04-26T10-53-18.jpg,courmettes,0.6682,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-275_2024-01-22T15-11-40.jpg,courmettes,0.6679,3,clear sky / thin high cloud over forest,clear/haze
force-06_valbonne-138_2024-01-02T10-48-32.jpg,valbonne,0.6677,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-212_2024-09-17T16-27-46.jpg,courmettes,0.6673,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-04-08T09-18-49.jpg,courmettes,0.6667,5,broken overcast over ridgelines,cloud
sdis-77_croix-augas-212_2024-08-20T09-17-12.jpg,croix-augas,0.6667,5,broken overcast over ridgelines,cloud
force-06_courmettes-275_2024-04-08T19-27-20.jpg,courmettes,0.6666,3,clear sky / thin high cloud over forest,clear/haze
sdis-07_brison-290_2024-09-05T09-52-08.jpg,brison,0.6661,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-04-03T10-04-17.jpg,courmettes,0.6656,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-212_2024-02-15T09-05-42.jpg,courmettes,0.6654,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-20T18-04-42.jpg,courmettes,0.6653,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-01-27T09-56-26.jpg,courmettes,0.6646,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-26T11-03-48.jpg,courmettes,0.6644,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-06-01T08-54-36.jpg,courmettes,0.6641,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-20T18-16-42.jpg,courmettes,0.6636,1,bright scattered / cumulus clouds,cloud
sdis-07_brison-110_2024-02-05T09-13-40.jpg,brison,0.6633,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-212_2024-09-17T16-25-19.jpg,courmettes,0.6616,1,bright scattered / cumulus clouds,cloud
sdis-77_croix-augas-212_2024-08-18T20-17-30.jpg,croix-augas,0.6607,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-10T18-08-48.jpg,courmettes,0.6607,5,broken overcast over ridgelines,cloud
force-06_courmettes-160_2024-04-08T09-48-48.jpg,courmettes,0.6601,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-22T15-02-22.jpg,courmettes,0.6592,5,broken overcast over ridgelines,cloud
sdis-07_brison-110_2024-03-01T11-14-16.jpg,brison,0.6565,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-212_2024-04-22T09-29-37.jpg,courmettes,0.6559,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-01-16T09-23-06.jpg,courmettes,0.6547,1,bright scattered / cumulus clouds,cloud
force-06_courmettes-160_2024-04-08T09-49-17.jpg,courmettes,0.6547,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-212_2024-01-15T11-25-16.jpg,courmettes,0.6543,3,clear sky / thin high cloud over forest,clear/haze
force-06_courmettes-160_2024-04-08T09-51-48.jpg,courmettes,0.654,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-212_2024-01-25T13-52-41.jpg,courmettes,0.6537,4,overcast stratus & valley haze (backlit),cloud
force-06_courmettes-160_2024-04-08T09-19-47.jpg,courmettes,0.6517,5,broken overcast over ridgelines,cloud
