image,site,max_conf
force-06_courmettes-160_2024-04-03T09-04-55.jpg,courmettes,0.8559
force-06_courmettes-160_2024-04-03T09-04-58.jpg,courmettes,0.8559
force-06_courmettes-160_2024-04-03T09-05-21.jpg,courmettes,0.8518
force-06_courmettes-160_2024-04-03T09-04-35.jpg,courmettes,0.8267
force-06_courmettes-160_2024-04-03T09-03-56.jpg,courmettes,0.8239
force-06_courmettes-160_2024-01-09T10-11-52.jpg,courmettes,0.8062
force-06_courmettes-160_2024-04-26T09-13-12.jpg,courmettes,0.7991
force-06_courmettes-160_2024-02-18T10-52-00.jpg,courmettes,0.7958
force-06_courmettes-275_2024-04-27T09-50-39.jpg,courmettes,0.7927
force-06_courmettes-160_2024-01-02T11-01-29.jpg,courmettes,0.7901
force-06_courmettes-212_2024-04-08T19-26-55.jpg,courmettes,0.7842
force-06_courmettes-160_2024-04-03T09-07-15.jpg,courmettes,0.7838
force-06_courmettes-160_2024-04-22T14-43-52.jpg,courmettes,0.783
force-06_courmettes-160_2024-04-03T09-23-17.jpg,courmettes,0.7776
force-06_courmettes-160_2024-04-03T09-02-16.jpg,courmettes,0.7727
force-06_courmettes-160_2024-04-03T09-04-06.jpg,courmettes,0.7721
force-06_courmettes-160_2024-01-09T10-15-44.jpg,courmettes,0.772
sdis-07_brison-110_2024-03-01T11-14-46.jpg,brison,0.7694
force-06_courmettes-275_2024-04-27T19-37-01.jpg,courmettes,0.7663
force-06_courmettes-275_2024-01-29T16-01-37.jpg,courmettes,0.7613
force-06_courmettes-160_2024-04-03T09-59-47.jpg,courmettes,0.756
force-06_courmettes-275_2024-04-27T09-50-32.jpg,courmettes,0.7542
force-06_courmettes-160_2024-02-12T10-25-13.jpg,courmettes,0.7479
force-06_courmettes-160_2024-04-23T09-17-30.jpg,courmettes,0.7479
force-06_courmettes-160_2024-04-03T09-17-46.jpg,courmettes,0.7475
force-06_courmettes-160_2024-04-03T09-59-17.jpg,courmettes,0.7457
force-06_courmettes-275_2024-04-27T10-06-12.jpg,courmettes,0.7452
sdis-07_brison-290_2024-09-05T09-50-38.jpg,brison,0.7444
force-06_courmettes-275_2024-04-08T19-32-12.jpg,courmettes,0.7439
force-06_courmettes-160_2024-01-20T09-38-50.jpg,courmettes,0.7412
force-06_courmettes-212_2024-04-08T19-27-14.jpg,courmettes,0.7354
sdis-07_brison-110_2024-03-28T11-26-47.jpg,brison,0.7336
force-06_courmettes-160_2024-01-09T10-16-14.jpg,courmettes,0.7326
force-06_courmettes-212_2024-02-15T09-05-22.jpg,courmettes,0.732
force-06_courmettes-212_2024-02-05T09-35-11.jpg,courmettes,0.7276
force-06_courmettes-212_2024-04-22T09-29-39.jpg,courmettes,0.7274
force-06_courmettes-160_2024-04-22T15-01-52.jpg,courmettes,0.7274
force-06_courmettes-275_2024-04-08T19-33-13.jpg,courmettes,0.7238
sdis-77_croix-augas-212_2024-09-16T18-53-00.jpg,croix-augas,0.7222
force-06_courmettes-160_2024-01-16T09-22-36.jpg,courmettes,0.7212
sdis-07_brison-290_2024-09-05T09-51-08.jpg,brison,0.7178
force-06_courmettes-160_2024-04-03T09-00-16.jpg,courmettes,0.7172
force-06_courmettes-160_2024-02-18T10-53-31.jpg,courmettes,0.7165
